Date,Porcentaje,WUA,Area,Vulnerabilidad - Fenomeno nina,Vulnerabilidad - Fenomeno nino,Individuos totales,Individuos maduros,Individuos reproductibles,Huevos esperados,Pre-reclutas,Peso por individuo
2021-01-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,2.9132983577652833
2021-02-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,8.009890693002482
2021-03-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,4.790349817196126
2021-04-01,0.3,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,5013.077444466656,16392763243.405966,491782.89730217896,5.859898020528487
2021-05-01,0.3,16025.966095365124,25556.819196126,1.0,1.0,64103.864381460495,16025.966095365124,4807.789828609537,15721472739.553186,471644.1821865956,8.536150410013752
2021-06-01,0.05,19159.47970281005,29791.09483323101,0.216,1.0,76637.9188112402,19159.47970281005,957.9739851405026,18795449588.45666,93977.24794228331,6.373036738521886
2021-07-01,0.05,17990.041526968762,28071.936991415,0.216,1.0,71960.16610787505,17990.041526968762,899.5020763484381,17648230737.956356,88241.15368978179,8.318002421072702
2021-08-01,0.05,19159.47970281005,29791.09483323101,0.216,1.0,76637.9188112402,19159.47970281005,957.9739851405026,18795449588.45666,93977.24794228331,5.515691591429751
2021-09-01,0.05,19742.92102853445,30511.997746059995,0.216,1.0,78971.6841141378,19742.92102853445,987.1460514267225,19367805528.992294,96839.02764496148,2.1182742358187925
2021-10-01,0.05,27578.357429366217,43318.088653757,0.216,1.0,110313.42971746487,27578.357429366217,1378.917871468311,27054368638.20826,135271.8431910413,6.150300340271472
2021-11-01,0.05,27578.357429366217,43318.088653757,0.216,1.0,110313.42971746487,27578.357429366217,1378.917871468311,27054368638.20826,135271.8431910413,5.331201496386104
2021-12-01,0.05,18823.664759428837,29115.61122137601,0.216,1.0,75294.65903771535,18823.664759428837,941.1832379714419,18466015128.999687,92330.07564499846,5.4743226087487535
2022-01-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,1.1605674375567165
2022-02-01,0.05,15855.828971048715,25083.372023589,1.0,1.0,63423.31588419486,15855.828971048715,792.7914485524358,15554568220.59879,77772.84110299395,0.6248716377681065
2022-03-01,0.05,15631.75989034555,24850.010023474,1.0,1.0,62527.0395613822,15631.75989034555,781.5879945172775,15334756452.428984,76673.78226214493,10.08212539416456
2022-04-01,0.3,16660.36566179785,26012.969913649995,0.216,1.0,66641.4626471914,16660.36566179785,4998.109698539354,16343818714.22369,490314.5614267107,2.143572567417951
2022-05-01,0.3,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,5170.314545678794,16906928564.36966,507207.8569310898,11.186632058679848
2022-06-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,1.5047199895235588
2022-07-01,0.05,17990.041526968762,28071.936991415,0.216,1.0,71960.16610787505,17990.041526968762,899.5020763484381,17648230737.956356,88241.15368978179,3.231992654868182
2022-08-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,9.029537968897234
2022-09-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,13.979816520223844
2022-10-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,14.71652957517336
2022-11-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,7.489099786661573
2022-12-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,8.824162670747636
2023-01-01,0.05,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,765.6274369913639,15021610313.770557,75108.0515688528,0.577269908452875
2023-02-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,2.13989993216476
