Date,Capital financiero - acumulado,Precio por libra,Capital financiero,Ventas,Costos
2021-01-01,0.0,5250.390549135704,1038040511.4166303,1038608801.4166303,568290.0
2021-02-01,1038040511.4166305,5392.068036596111,1066066519.0177592,1066634809.0177592,568290.0
2021-03-01,2104107030.4343889,3691.0583140009107,729580375.2444242,730148665.2444242,568290.0
2021-04-01,2833687405.678811,2704.7316385960135,534469638.89812267,535037928.89812267,568290.0
2021-05-01,3368157044.576936,3925.7432925016915,776004709.1963639,776572999.1963639,568290.0
2021-06-01,4144161753.7732983,5320.250728183387,1051859939.9236028,1052428229.9236028,568290.0
2021-07-01,5196021693.696899,4351.81593662808,860288496.1053907,860856786.1053907,568290.0
2021-08-01,6056310189.802294,2475.813337983646,489186043.40245396,489754333.40245396,568290.0
2021-09-01,6545496233.204746,2097.6741618948395,414384240.9896948,414952530.9896948,568290.0
2021-10-01,6959880474.194441,4340.566605489058,858063203.6777711,858631493.6777711,568290.0
2021-11-01,7817943677.87221,3622.2013148819733,715959391.309079,716527681.309079,568290.0
2021-12-01,8533903069.18129,4330.715126899527,856114428.1963474,856682718.1963474,568290.0
2022-01-01,9390017497.377644,4531.852732897209,895902570.7983203,896470860.7983203,568290.0
2022-02-01,10285920068.175964,4890.845230293212,966916862.7731149,967485152.7731149,568290.0
2022-03-01,11252836930.949078,4405.563261680644,870920551.8219665,871488841.8219665,568290.0
2022-04-01,12123757482.771053,4605.201844988527,910412164.4525827,910980454.4525827,568290.0
2022-05-01,13034169647.223644,4549.0637890636735,899307185.0358477,899875475.0358477,568290.0
2022-06-01,13933476832.259483,5048.329842198977,998069765.1110059,998638055.1110059,568290.0
2022-07-01,14931546597.370491,4978.72933946993,984301704.6132379,984869994.6132379,568290.0
2022-08-01,15915848301.983738,2642.263311240438,522112433.46852726,522680723.46852726,568290.0
2022-09-01,16437960735.45227,4706.168872579784,930385010.7633046,930953300.7633046,568290.0
2022-10-01,17368345746.215576,4281.5317521321185,846385192.7349564,846953482.7349564,568290.0
2022-11-01,18214730938.950523,2801.6821999114045,553647965.7943996,554216255.7943996,568290.0
2022-12-01,18768378904.744934,4792.579441551648,947478363.463395,948046653.463395,568290.0
2023-01-01,19715857268.208336,4998.769925132014,988266043.7341839,988834333.7341839,568290.0
2023-02-01,20704123311.942505,5770.483128047863,1140922901.7749176,1141491191.7749176,568290.0
2023-03-01,21845046213.717407,4897.109199547544,968155973.1856583,968724263.1856583,568290.0
2023-04-01,22813202186.90306,3528.897476806359,697502442.911738,698070732.911738,568290.0
2023-05-01,23510704629.81478,4792.752593688185,947512615.645458,948080905.645458,568290.0
2023-06-01,24458217245.460228,5864.262809321923,1159473979.3478646,1160042269.3478646,568290.0
2023-07-01,25617691224.808105,3842.662897683538,759570116.669241,760138406.669241,568290.0
2023-08-01,26377261341.47734,5304.232535809648,1048691292.6722305,1049259582.6722305,568290.0
2023-09-01,27425952634.149574,3664.5071064466706,724328133.9880832,724896423.9880832,568290.0
2023-10-01,28150280768.13765,3191.9357327922826,630846176.1448156,631414466.1448156,568290.0
2023-11-01,28781126944.28248,2792.284046168141,551788865.0087587,552357155.0087587,568290.0
2023-12-01,29332915809.291252,4004.275166124891,791539533.5819938,792107823.5819938,568290.0
2024-01-01,30124455342.873253,4970.555892839262,982684869.9170231,983253159.9170231,568290.0
2024-02-01,31107140212.790283,4087.5705798309586,808016660.1848903,808584950.1848903,568290.0
2024-03-01,31915156872.97518,6157.698478562251,1217520112.4631915,1218088402.4631915,568290.0
